id,likesCount,owner/is_mentionable,owner/is_private,owner/is_verified,repliesCount,text,timestamp
17979297743820933,52,FALSE,TRUE,FALSE,0,"""Private university"" is not private if my taxes fund it.",2025-04-15T23:10:11.000Z
17964203249873198,74,FALSE,TRUE,FALSE,2,Private universities should not receive one penny of taxpayer money. They charge ludicrous tuition fees and have millions in endowments. This is why we need DOGE more than ever.,2025-04-15T23:08:57.000Z
18092236765573548,13,TRUE,FALSE,FALSE,0,Good! Give that money back to the taxpayers!,2025-04-15T22:14:33.000Z
17880738534276298,18,TRUE,FALSE,FALSE,1,"They are right, no government should be allowed to dictate what a PRIVATE university teaches, just as long as that PRIVATE university isn't being funded by the PUBLIC's money. As long as they fund themselves, then yea, do what you want",2025-04-15T22:02:41.000Z
18103435012507531,146,TRUE,FALSE,FALSE,3,Excellent. Nothing bothers me more than my tax $ funding indoctrination centers like Harvard,2025-04-15T22:00:20.000Z
18271423273256578,64,TRUE,FALSE,FALSE,2,"How did Harvard turn into a 100% liberal, progoganda, brainwashing machine???!!!",2025-04-15T22:02:14.000Z
18067834828935680,1,FALSE,TRUE,FALSE,0,So free speech isn't a thing anymore?,2025-04-15T22:16:26.000Z
17896031337085423,2,TRUE,TRUE,FALSE,0,The Harvard President is correct. And public money should never have been given to them. Period.,2025-04-15T22:53:43.000Z
17945797931844004,4473,FALSE,TRUE,FALSE,209,So is ICE only deporting black and brown ppl? I’ve yet to see a report of any illegal Europeans being deported.,2025-04-16T02:39:23.000Z
17924017836062653,6575,TRUE,TRUE,FALSE,66,I see some folks just couldn’t wait to play this role.,2025-04-16T02:15:52.000Z
18363663757124581,1076,TRUE,TRUE,FALSE,6,Absolutely terrifying,2025-04-16T02:14:07.000Z
18038612030269183,1717,TRUE,FALSE,FALSE,13,We got to keep sharing these stories,2025-04-16T02:15:00.000Z
17875436829314794,331,TRUE,FALSE,FALSE,10,This is appalling. I don’t know what universe I am in anymore,2025-04-16T03:46:25.000Z
18004794659750514,2393,TRUE,FALSE,FALSE,67,WTF is happening to this country.,2025-04-16T02:20:19.000Z
18041413082448113,4768,TRUE,TRUE,FALSE,122,Violation of human rights.,2025-04-16T02:13:37.000Z
18049313495364978,1087,FALSE,TRUE,FALSE,12,"“Terrible things are happening outside. Poor helpless people are being dragged out of their homes. Families are torn apart. Men, women, and children are separated. Children come home from school to find that their parents have disappeared.”
Anne Frank - January 13th, 1943",2025-04-16T03:47:01.000Z
18072784249846556,22,TRUE,TRUE,FALSE,1,This is what America voted for! SMH,2025-04-16T04:40:34.000Z
18000808682780578,36,TRUE,FALSE,FALSE,1,Power has gone wild.,2025-04-16T03:39:48.000Z
17924668485066911,1615,FALSE,TRUE,FALSE,26,"At what point does your own decency outweigh your job? Am I to believe that all of these ICE agents voted for Trump! Accountability for these despicable acts, will come for all those involved!",2025-04-16T02:20:40.000Z
17844836550448006,276,TRUE,FALSE,FALSE,4,"Not mentioned here was the fact that they were looking for someone completely different (someone named Antonio). So not only was he treated very badly, they didn't even get the right person",2025-04-16T03:04:27.000Z
17908944594106985,2895,TRUE,TRUE,FALSE,99,How the fuck is this shit legal?!,2025-04-16T02:13:43.000Z
17842441170469846,43,TRUE,TRUE,FALSE,4,Can someone identify these ICE agents?? This is the first time we’re seeing them without masks.,2025-04-16T02:21:54.000Z
18304186117212393,840,TRUE,FALSE,FALSE,9,,2025-04-16T02:32:59.000Z
18104950663502089,27963,TRUE,FALSE,FALSE,87,The “let them eat cake” of the 21st century.,2025-04-15T22:04:11.000Z
18114554008460904,16142,TRUE,FALSE,FALSE,19,"what happened to ""unnecessary government spending""?",2025-04-15T22:06:35.000Z
