authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration
4100000,203,FALSE,1705,119300,2021-08-11T04:01:30.000Z,8000000,39900000,221500,Tag That Friend That Always Be Falling Asleep  #foryou #funny #fail #nap #sleep #pennsylvania #SHEINcares #viral #trending #meme #memes #foryoupage,6
490700,7,FALSE,87,114700,2021-10-07T15:02:08.000Z,7900000,72600000,495600,#foryoupage #fyp #funny #viral #memes #xyzbca,39
624500,0,FALSE,96,40200,2022-04-14T16:08:13.000Z,7900000,61000000,185400,"You laugh, you replay de video #meme #memes #LiveForTheChallenge #viral #fyp #foryoupage #compilation #funny #justmemes2022 #fy",24
4100000,203,FALSE,1705,57000,2022-02-27T01:51:50.000Z,7400000,59000000,73600,"Location: @motivemovement in Greenville, South Carolina  #motiveschoolofmovement #foryou #viral #trending #perfectlycutscreams #greenville #southcarolina #funny #meme #bobreese #screams #motivemovement #motive #memes",18
279400,9,FALSE,61,47500,2021-09-09T08:11:36.000Z,7300000,55400000,109100,OH NO… #fyp #fypシ #foryoupage #meme #memes #edit #edits #darthvader #starwars #starwarsmemes #elevator,12
4100000,203,FALSE,1705,11300,2021-08-14T05:50:40.000Z,7100000,31400000,15600,BEHIND THE SCENES OF MY VIRAL VIDEO  #greenscreenvideo #PepsiApplePieChallenge #StyleSnap #PerfectMarcJacobs #foryou #memes #viral #trending #howto,21
2400000,78,TRUE,12,95900,2021-02-17T19:55:28.000Z,7100000,44900000,1400000,When you meet up with the squad in Konoha! #animation #art #snl #yeet #naruto #anime #animememes #memes #animationmeme #meme,15
142200,303,FALSE,92,79400,2021-06-24T10:17:12.000Z,7000000,29300000,282600,cat turned on creative mode #cat #memes #cursed,9
10600000,23,TRUE,820,47800,2020-04-10T11:35:24.000Z,6900000,44300000,499900,Don’t touch his no-no square lol #memes #comedy #funny #funnymoments #humour #virtualreality #vr #gaming #meme #vrgame,14
4000000,69,FALSE,1162,14800,2022-05-18T16:19:40.000Z,6300000,71400000,22400,Was so ready for this! @dbekbusina #picnic #alfresco #spoons #starving #lickinglips #pov #awkward #uncomfortable #comedy #humour #fyp #funny #memes #wow #comedy #introvert #funnymemes #niallmacmillan,23
