authorMeta/fans,authorMeta/following,authorMeta/verified,authorMeta/video,commentCount,createTimeISO,diggCount,playCount,shareCount,text,videoMeta/duration,clean_text,us_count,them_count,negation_count,intensifier_count,hedge_count,is_polarized
147500,34,False,17,52400,2022-04-05T17:59:23.000Z,6000000,50200000,281900,#fyp #foryourpage #jokes #jokesintheoffice #tuesday #scaredthehelloutofme @marlybautizta,7,#fyp #foryourpage #jokes #jokesintheoffice #tuesday #scaredthehelloutofme @marlybautizta,0,0,0,0,0,False
278600,332,False,757,17400,2022-02-12T22:54:49.000Z,5600000,36900000,211300,#stitch with @gavinfujjj unreal!! #stitch #fypシ #WTF #jokes #funniest #foryoupage #fyp #AlaskaAirCAREoke #crazy #lmao #fish #dogshit,15,#stitch with @gavinfujjj unreal!! #stitch #fypシ #WTF #jokes #funniest #foryoupage #fyp #AlaskaAirCAREoke #crazy #lmao #fish #dogshit,0,0,0,0,0,False
31700,94,False,108,61300,2021-12-22T17:34:57.000Z,5500000,24600000,108100,They’re so innocent  #fyp #jokes #parents #foryou #lol,16,They’re so innocent #fyp #jokes #parents #foryou #lol,0,1,0,1,0,True
1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,#fyp #meme #funny #meme #vine,0,0,0,0,0,False
960500,1286,False,493,82800,2021-09-24T06:40:54.000Z,8900000,78200000,165100,Well the table broke! ‍♂️ #fyp #fypシ #meme #trend #tablebroke #osu #osugame #godmode #viral,13,Well the table broke! ‍♂️ #fyp #fypシ #meme #trend #tablebroke #osu #osugame #godmode #viral,0,0,0,0,0,False
8700000,4,True,89,84900,2021-05-06T14:51:50.000Z,8700000,89800000,17700,So simple ‍♂️ @mingweirocks #meme #fail #funny #foryou #viral,21,So simple ‍♂️ @mingweirocks #meme #fail #funny #foryou #viral,0,0,0,1,0,False
2400000,440,False,10200,56200,2022-02-14T20:56:50.000Z,8700000,51300000,263600,Nobody got hurt everything is Protected  no Danger no Violation everything is Staged and Fake #meme #foryou #funnyvideos  #joke,12,Nobody got hurt everything is Protected no Danger no Violation everything is Staged and Fake #meme #foryou #funnyvideos #joke,0,0,0,0,0,False
2400000,20,False,181,67600,2021-07-15T18:33:26.000Z,8700000,102300000,368600,Wee #foryou #foryoupage #funny #viral #wee #meme #animals #funnyvideo #4u #fypage #funnyanimals #fyp,7,Wee #foryou #foryoupage #funny #viral #wee #meme #animals #funnyvideo #4u #fypage #funnyanimals #fyp,0,0,0,0,0,False
1300000,182,False,518,154100,2021-05-05T00:56:03.000Z,15400000,79600000,205400,#fyp #meme #funny #meme #vine,11,#fyp #meme #funny #meme #vine,0,0,0,0,0,False
46500000,263,True,1280,71700,2021-01-16T15:09:09.000Z,14000000,160400000,61600,@❤️Sasha&Vanya&Roma❤️ 님과 #이어찍기  #추천 #fyp #viral #funny #xyzbca #おすすめ,18,@❤️Sasha&Vanya&Roma❤️ 님과 #이어찍기 #추천 #fyp #viral #funny #xyzbca #おすすめ,0,0,0,0,0,False
